Station,pricepersqft,median,commute
 12th St. Oakland City Center,578,,12
 16th St. Mission (SF),998,1239.5,7
 19th St. Oakland,569,,13
 24th St. Mission (SF),1001,1372.5,9
 Ashby (Berkeley),625,,20
 Balboa Park (SF),682,,13.5
 Bay Fair (San Leandro),376,490,28
 Castro Valley,406,567.5,32
 Civic Center/UN Plaza (SF),994,950,4.5
 Coliseum,270,285,20
 Colma,508,,21
 Concord,317,410,43
 Daly City,598,,17
 Downtown Berkeley,659,,22
 Dublin/Pleasanton,476,,45
 El Cerrito del Norte,412,,31
 El Cerrito Plaza,592,,28
 Embarcadero (SF),1149,1150,0
 Fremont,490,,46
 Fruitvale (Oakland),413,,17
 Glen Park (SF),817,1100,12
 Hayward,347,457.5,32
 Lafayette,608,,30
 Lake Merritt (Oakland),582,,12.5
 MacArthur (Oakland),553,,16.5
 Millbrae,854,1323.5,32
 Montgomery St. (SF),1149,1100,1.5
 North Berkeley,684,,24.5
 North Concord/Martinez,306,420,47
 Orinda,555,,25
 Pittsburg/Bay Point,219,430,53
 Pleasant Hill/Contra Costa Centre,414,,38
 Powell St. (SF),1099,1008,3
 Richmond,258,285,35
 Rockridge (Oakland),704,1077.75,20
 San Bruno,658,,27.5
 San Francisco Int'l Airport,735,825,32
 San Leandro,366,485,24
 South Hayward,356,480,36
 South San Francisco,616,,24
 Union City,426,,41
 Walnut Creek,501,,35
 West Dublin/Pleasanton,458,,43
 West Oakland,427,,7.25
